"lhs","op","rhs","block","group","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"wBMI5","~","wBMI4",1,1,0.225691819099725,0.132814523686856,1.69930074539024,0.0892625322152665,-0.0346198639503549,0.486003502149805,0.210086914318591,0.210086914318591,0.210086914318591
"wBMI5","~","wPA4",1,1,-0.0169757735312958,0.0175012923059119,-0.969972573143153,0.332060163371206,-0.0512776761337911,0.0173261290711994,-0.0372562031755562,-0.0372562031755562,-0.0372562031755562
"wBMI5","~","wFV4",1,1,0.0236161126469219,0.0971674318487105,0.24304555752479,0.807970105517973,-0.166828554246801,0.214060779540645,0.0100600933233342,0.0100600933233342,0.0100600933233342
"wPA5","~","wBMI4",1,1,0.0913222450730157,0.148330656358372,0.615666695712435,0.538114522344606,-0.199400499192581,0.382044989338612,0.0438226676280193,0.0438226676280193,0.0438226676280193
"wPA5","~","wPA4",1,1,-0.0576233981934286,0.0784750715253107,-0.734289208960367,0.462772493278014,-0.211431712067242,0.0961849156803851,-0.0651938955854521,-0.0651938955854521,-0.0651938955854521
"wPA5","~","wFV4",1,1,-0.0957277503739618,0.157339467419119,-0.608415370562833,0.542912019689427,-0.404107439862147,0.212651939114224,-0.0210218288887731,-0.0210218288887731,-0.0210218288887731
"wFV5","~","wBMI4",1,1,-0.0373864757390139,0.0252926146599371,-1.47815780383643,0.139365545207245,-0.0869590895473404,0.0121861380693127,-0.0821714144740089,-0.0821714144740089,-0.0821714144740089
"wFV5","~","wPA4",1,1,0.00343781607499781,0.00624196518842464,0.550758610665281,0.581799160427912,-0.00879621088706726,0.0156718430370629,0.0178145439115778,0.0178145439115778,0.0178145439115778
"wFV5","~","wFV4",1,1,0.0934386702328783,0.0404239381564437,2.3114687606948,0.0208069767462029,0.0142092073329742,0.172668133132782,0.0939816999836466,0.0939816999836466,0.0939816999836466
"wBMI6","~","wBMI5",1,1,0.345432328623255,0.142057008517054,2.43164580353518,0.015030397492426,0.0670057081783303,0.62385894906818,0.329309842134071,0.329309842134071,0.329309842134071
"wBMI6","~","wPA5",1,1,-0.0246932246433962,0.0198843241392267,-1.24184379969359,0.214294198940403,-0.0636657838132009,0.0142793345264085,-0.0456646877044806,-0.0456646877044806,-0.0456646877044806
"wBMI6","~","wFV5",1,1,-0.0782670159206038,0.0998198712104102,-0.784082517554294,0.432991692902222,-0.273910368434434,0.117376336593227,-0.0316007548526673,-0.0316007548526673,-0.0316007548526673
"wPA6","~","wBMI5",1,1,-0.113888054455963,0.09349642765436,-1.21810059820667,0.223185746595929,-0.297137685341663,0.0693615764297374,-0.0553385928930068,-0.0553385928930068,-0.0553385928930068
"wPA6","~","wPA5",1,1,0.243420549106085,0.120876963476718,2.01378775661394,0.0440318217042175,0.00650605413115407,0.480335044081017,0.229439469535392,0.229439469535392,0.229439469535392
