"lhs","op","rhs","block","group","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"riBMI","=~","BMI4",2,2,1,0,NA,NA,1,1,4.13039296667055,0.95139246076707
"riBMI","=~","BMI5",2,2,1,0,NA,NA,1,1,4.13039296667055,0.962638588023564
"riBMI","=~","BMI6",2,2,1,0,NA,NA,1,1,4.13039296667055,0.936525483196404
"riBMI","=~","BMI7",2,2,1,0,NA,NA,1,1,4.13039296667055,0.929497399180874
"riPA","=~","PA1",2,2,1,0,NA,NA,1,1,1.91519129219597,0.648665932043877
"riPA","=~","PA2",2,2,1,0,NA,NA,1,1,1.91519129219597,0.596514044764829
"riPA","=~","PA3",2,2,1,0,NA,NA,1,1,1.91519129219597,0.670366784997827
"riPA","=~","PA4",2,2,1,0,NA,NA,1,1,1.91519129219597,0.631229678597582
"riPA","=~","PA5",2,2,1,0,NA,NA,1,1,1.91519129219597,0.587958725812327
"riPA","=~","PA6",2,2,1,0,NA,NA,1,1,1.91519129219597,0.681758785076924
"riPA","=~","PA7",2,2,1,0,NA,NA,1,1,1.91519129219597,0.683882365452324
"riFV","=~","FV1",2,2,1,0,NA,NA,1,1,0.5144179355243,0.724557066684815
"riFV","=~","FV2",2,2,1,0,NA,NA,1,1,0.5144179355243,0.727663412643345
"riFV","=~","FV3",2,2,1,0,NA,NA,1,1,0.5144179355243,0.7453996320285
"riFV","=~","FV4",2,2,1,0,NA,NA,1,1,0.5144179355243,0.757474176516861
"riFV","=~","FV5",2,2,1,0,NA,NA,1,1,0.5144179355243,0.740166466417663
"riFV","=~","FV6",2,2,1,0,NA,NA,1,1,0.5144179355243,0.735970918067456
"riFV","=~","FV7",2,2,1,0,NA,NA,1,1,0.5144179355243,0.728139252036112
"wBMI1","=~","BMI1",2,2,1,0,NA,NA,1,1,1.75322785081165,0.390727362204937
"wPA1","=~","PA1",2,2,1,0,NA,NA,1,1,2.24707481953493,0.761073260997683
"wFV1","=~","FV1",2,2,1,0,NA,NA,1,1,0.489325792318589,0.689214812026771
"wBMI2","=~","BMI2",2,2,1,0,NA,NA,1,1,1.55562121102049,0.352458693582857
"wPA2","=~","PA2",2,2,1,0,NA,NA,1,1,2.57686737928607,0.802602637921346
"wFV2","=~","FV2",2,2,1,0,NA,NA,1,1,0.484917800760602,0.685934368507835
"wBMI3","=~","BMI3",2,2,1,0,NA,NA,1,1,1.40102671647363,0.321223021497333
"wPA3","=~","PA3",2,2,1,0,NA,NA,1,1,2.11992783088797,0.742029900726161
