"lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"wBMI2","~","wBMI1",0.52896957104243,0.0426324807995891,12.4076657309496,0,0.44541144410364,0.61252769798122,0.591169584821853,0.591169584821853
"wBMI2","~","wPA1",-0.027812305851561,0.0102664246304437,-2.70905469554486,0.00674752151281921,-0.0479341283772257,-0.00769048332589636,-0.045184009931447,-0.045184009931447
"wBMI2","~","wFV1",-0.0596464160027118,0.0486653080820621,-1.22564550299636,0.220332106477391,-0.1550286671401,0.035735835134676,-0.021458550383177,-0.021458550383177
"wPA2","~","wBMI1",-0.0860034771781157,0.0341018532041563,-2.52195904613282,0.0116703294375553,-0.152841881264334,-0.0191650730918975,-0.0561509655745358,-0.0561509655745358
"wPA2","~","wPA1",0.447869533535252,0.0468061465871599,9.56860511260532,0,0.356131171969317,0.539607895101188,0.425068694077208,0.425068694077208
"wPA2","~","wFV1",0.0715521283811286,0.0876434798874365,0.816399901886888,0.414271452727907,-0.100225935678007,0.243330192440265,0.0150382884316314,0.0150382884316314
"wFV2","~","wBMI1",0.0165060297989886,0.00794752792958825,2.07687597265779,0.0378130079070094,0.000929161290869404,0.0320828983071077,0.051465533013543,0.051465533013543
"wFV2","~","wPA1",0.00448341258837404,0.00501803763768305,0.893459338508299,0.371611237867937,-0.00535176045455118,0.0143185856312993,0.020321180760018,0.020321180760018
"wFV2","~","wFV1",0.164623134220397,0.0228301566412238,7.21077550222068,5.56443779942128e-13,0.119876849442191,0.209369418998604,0.16523397515878,0.16523397515878
"wBMI3","~","wBMI2",0.393217273225228,0.0504602828796682,7.79260937087743,6.66133814775094e-15,0.294316936131375,0.492117610319081,0.449227473493377,0.449227473493377
"wBMI3","~","wPA2",-0.0349944516802271,0.0113571104759251,-3.08128126026499,0.00206111854255497,-0.0572539791814828,-0.0127349241789714,-0.0684341831788573,-0.0684341831788573
"wBMI3","~","wFV2",0.0599997939793688,0.0505279713127902,1.18745701480758,0.235047402246172,-0.039033210005573,0.159032797964311,0.0245692003770273,0.0245692003770273
"wPA3","~","wBMI2",-0.118179682214948,0.0392156194785887,-3.01358702951188,0.00258178979076851,-0.19504088402441,-0.041318480405487,-0.0741980638374641,-0.0741980638374641
"wPA3","~","wPA2",0.366761328117944,0.0507626528675982,7.22502287409112,5.00932628710871e-13,0.267268356737743,0.466254299498146,0.39416083122488,0.39416083122488
"wPA3","~","wFV2",0.175695304483484,0.0869400996739092,2.020877651883,0.0432924318650183,0.0052958403102992,0.346094768656668,0.0395382507720491,0.0395382507720491
"wFV3","~","wBMI2",0.00411260817593819,0.00927587192882641,0.443366209397257,0.6575008728733,-0.0140677667297677,0.022292983081644,0.0118925350696322,0.0118925350696322
